Job_Title,Salary_Min,Salary_Max,Salary_Mid,Rating,Company_Name,Location,lat,lng,STATE,Industry
Data Analyst,110000,190000,150000,4.5,"OSI Engineering
4.5","Newark, CA",37.5204,-122.0312,CA,Staffing & Outsourcing
Senior HR Data Analyst,110000,190000,150000,4.6,"NVIDIA
4.6","Santa Clara, CA",37.3645,-121.968,CA,Computer Hardware & Software
Sr. Data Analyst - Growth & Adoption,110000,190000,150000,3.9,"Risk Management Solutions (RMS)
3.9","Newark, CA",37.5204,-122.0312,CA,Enterprise Software & Network Solutions
Data Analyst,110000,190000,150000,4.0,"LeanData
4.0","Santa Clara, CA",37.3645,-121.968,CA,Enterprise Software & Network Solutions
"Data Analyst, Product Insights",110000,190000,150000,3.3,"Alteryx
3.3","Redwood City, CA",37.5026,-122.2252,CA,Enterprise Software & Network Solutions
Senior Data Analyst,110000,190000,150000,3.1,"Bandai Namco Entertainment America
3.1","Santa Clara, CA",37.3645,-121.968,CA,Sports & Recreation
Data and User Acceptance Test Analyst,110000,190000,150000,3.4,"Kelly
3.4","Cupertino, CA",37.3168,-122.0465,CA,Staffing & Outsourcing
Data Analyst,110000,190000,150000,3.4,"Tesla Motors
3.4","Fremont, CA",37.5265,-121.9852,CA,Transportation Equipment Manufacturing
Data Analyst,110000,190000,150000,3.5,"L&T Infotech
3.5","San Jose, CA",37.3019,-121.8486,CA,IT Services
Data Analyst,110000,190000,150000,3.8,"IntraEdge
3.8","Menlo Park, CA",37.4686,-122.1672,CA,IT Services
Data Analyst,110000,190000,150000,4.0,"Connor Group
4.0","Santa Clara, CA",37.3645,-121.968,CA,Accounting
Data Analyst,110000,190000,150000,-1.0,Xcutives.com Inc,"San Jose, CA",37.3019,-121.8486,CA,N/A
Marketing Data Analyst,110000,190000,150000,3.9,"Joomag, Inc.
3.9","San Jose, CA",37.3019,-121.8486,CA,IT Services
Tableau Data Analyst Intern,110000,190000,150000,4.0,"Cognoa
4.0","Palo Alto, CA",37.3913,-122.1468,CA,Health Care Services & Hospitals
Data Analyst I,110000,190000,150000,3.6,"ICONMA
3.6","Cupertino, CA",37.3168,-122.0465,CA,Staffing & Outsourcing
Data Analyst,110000,190000,150000,3.8,"Enjoy
3.8","Palo Alto, CA",37.3913,-122.1468,CA,N/A
AI Insights Data Analyst,110000,190000,150000,5.0,"Moveworks
5.0","Mountain View, CA",37.4,-122.0796,CA,Enterprise Software & Network Solutions
"Data Analyst (SQL, Hive)",110000,190000,150000,4.4,"Ursus
4.4","Menlo Park, CA",37.4686,-122.1672,CA,IT Services
"Data Analyst, Autonomy Operations",110000,190000,150000,4.4,"Nuro
4.4","Mountain View, CA",37.4,-122.0796,CA,Computer Hardware & Software
Data Analyst I,110000,190000,150000,3.9,"TalentBurst, Inc.
3.9","Cupertino, CA",37.3168,-122.0465,CA,IT Services
Data Analyst,110000,190000,150000,3.7,"Randstad
3.7","Sunnyvale, CA",37.3836,-122.0256,CA,Staffing & Outsourcing
Data Analyst,110000,190000,150000,4.1,"BayOne Solutions
4.1","Sunnyvale, CA",37.3836,-122.0256,CA,IT Services
Data Analyst,110000,190000,150000,4.0,"Zipongo
4.0","San Jose, CA",37.3019,-121.8486,CA,Health Care Services & Hospitals
Data Analyst,110000,190000,150000,3.1,"Logic Planet
3.1","San Jose, CA",37.3019,-121.8486,CA,IT Services
Senior Data Analyst Studio Finance Engineering,110000,190000,150000,3.9,"Netflix
3.9","Los Gatos, CA",37.2303,-121.956,CA,Internet
Data Analyst with Data Mapping and API,110000,190000,150000,-1.0,Xcutives.com Inc,"San Jose, CA",37.3019,-121.8486,CA,N/A
Data Analyst,110000,190000,150000,3.9,"Kaygen Inc.
3.9","San Jose, CA",37.3019,-121.8486,CA,Consulting
Data Analyst,110000,190000,150000,3.6,"Iconma, L.L.C.
3.6","Sunnyvale, CA",37.3836,-122.0256,CA,Staffing & Outsourcing
