City,Average Salary,lat,lng,STATE
"Newark, CA",150000,37.5204,-122.0312,CA
"Concord, CA",130167,37.9722,-122.0016,CA
"Marin City, CA",126000,37.8711,-122.5137,CA
"Pico Rivera, CA",122500,33.9902,-118.0888,CA
"Belcamp, MD",122000,39.3051,-76.6144,MD
"Fort George G Meade, MD",122000,39.3051,-76.6144,MD
"Seven Hills, OH",120000,41.3805,-81.6737,OH
"Strongsville, OH",120000,41.3128,-81.8313,OH
"Carnegie, PA",119500,40.408,-80.0861,PA
"Eighty Four, PA",119500,40.1777,-80.1303,PA
"Heidelberg, PA",119500,40.3914,-80.0923,PA
"Leetsdale, PA",119500,40.5656,-80.2142,PA
"Macdill AFB, FL",119000,25.7839,-80.2102,FL
"Md City, MD",119000,39.3051,-76.6144,MD
Michigan,119000,42.3834,-83.1024,MI
"Offutt AFB, NE",119000,41.1207,-95.9209,NE
South Carolina,119000,40.6943,-73.9249,NY
Texas,119000,39.7621,-104.8759,CO
"Los Gatos, CA",118700,37.2303,-121.956,CA
"College Park, MD",118000,38.996,-76.9337,MD
"Westminster, CO",117000,39.8837,-105.0624,CO
"Berkeley, CA",115500,37.8723,-122.276,CA
"Des Moines, WA",115000,47.3915,-122.3157,WA
"Glenview, IL",113000,42.0825,-87.8216,IL
"Northfield, IL",113000,42.1026,-87.7791,IL
"Daly City, CA",112500,37.6862,-122.4685,CA
"Oregon City, OR",112000,45.3415,-122.5927,OR
"Wilsonville, OR",112000,45.3107,-122.7705,OR
"San Jose, CA",111240,37.3019,-121.8486,CA
"East Weymouth, MA",109000,42.3188,-71.0846,MA
"Milton, MA",109000,42.3188,-71.0846,MA
"Tewksbury, MA",109000,42.3188,-71.0846,MA
"Wellesley, MA",109000,42.3188,-71.0846,MA
"City of Industry, CA",106000,34.1139,-118.4068,CA
"Cupertino, CA",105885,37.3168,-122.0465,CA
Connecticut,105750,40.7777,-111.9306,ut
"Santa Clara, CA",105182,37.3645,-121.968,CA
"Garner, NC",105000,35.6934,-78.6196,NC
"Far Rockaway, NY",104500,40.6943,-73.9249,NY
"Memphis, TN",104500,35.1046,-89.9773,TN
"Millington, TN",104500,35.335,-89.8991,TN
"Edison, NJ",104000,40.2236,-74.7641,NJ
"Mahwah, NJ",104000,40.2236,-74.7641,NJ
"Beaverton, OR",103818,45.4779,-122.8168,OR
"Great Neck, NY",103000,40.8028,-73.7332,NY
