Job Title,Salary Estimate,Salary_Min,Salary_Max,Salary_Mid,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,lat,lng,STATE
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.2,"Vera Institute of Justice
3.2","New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,TRUE,40.6943,-73.9249,NY
Quality Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.8,"Visiting Nurse Service of New York
3.8","New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,40.6943,-73.9249,NY
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,40.6943,-73.9249,NY
Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",4.1,"Celerity
4.1","New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,40.6943,-73.9249,NY
Reporting Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.9,"FanDuel
3.9","New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,TRUE,40.6943,-73.9249,NY
Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Data Science Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",TRUE,40.6943,-73.9249,NY
Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",4,"DMGT
4.0","New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,40.6943,-73.9249,NY
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,40.6943,-73.9249,NY
Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,40.6943,-73.9249,NY
Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",-1,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,40.2236,-74.7641,NJ
DATA ANALYST,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3.7,"Montefiore Medical
3.7","New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,40.6943,-73.9249,NY
Senior Data Analyst,$37K-$66K (Glassdoor est.),"$37,000 ","$66,000 ","$51,500 ",3,"Known
3.0","New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,TRUE,40.6943,-73.9249,NY
